track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4FxIGIFx8t2KfuTInsFN0T,kpop,220363.0,False,0.632,0.399,2.0,-9.445,0.0,0.074,0.513,0.0,0.365,0.501,110.198,3.0
2WlmR4N8xSxDG3Adz8Wd2k,kpop,195616.0,False,0.881,0.952,7.0,0.796,1.0,0.0603,0.147,0.000422,0.0632,0.549,114.996,4.0
79dV7EjecAY2Q3r8Oov51k,kpop,196153.0,False,0.878,0.773,9.0,-4.672,1.0,0.0789,0.207,4.08e-06,0.242,0.59,104.025,4.0
7FuQkitKqCDWGSuj7XjquY,kpop,184518.0,True,0.7,0.682,0.0,-7.835,1.0,0.0601,0.19,0.0608,0.239,0.584,113.065,4.0
3zaBMWjFEt2ZQ50QvNzaka,kpop,78370.0,False,0.934,0.542,0.0,-5.711,1.0,0.0381,0.114,0.0,0.133,0.961,127.926,4.0
7KiaT9xUN0rfKCm3rLUSsW,kpop,231889.0,False,0.671,0.119,7.0,-14.11,1.0,0.0565,0.994,0.956,0.13,0.171,129.994,4.0
6Yj8kVuVR3UPxx9r5eFEoV,kpop,179808.0,False,0.758,0.858,5.0,-2.502,1.0,0.0464,0.43,0.0,0.201,0.963,119.992,4.0
15MX6MbFRqxDLrUXfVjqXh,kpop,174573.0,False,0.648,0.845,8.0,-3.034,0.0,0.0661,0.00208,0.0,0.0253,0.97,159.963,4.0
5BYSICk2nvVGX65duAb1uo,kpop,141714.0,False,0.628,0.566,0.0,-13.977,0.0,0.025,0.873,0.917,0.112,0.527,105.083,4.0
6arG2da5LBjYfmJRP9uNn2,kpop,260794.0,False,0.356,0.536,2.0,-6.216,0.0,0.0549,0.305,0.0,0.099,0.238,145.299,4.0
2qJjNAljfrYm7slPCXzRtC,kpop,216853.0,False,0.765,0.9,11.0,-3.761,1.0,0.0964,0.0923,0.0,0.217,0.675,118.017,4.0
4JbJYudxJKzp9uVAgFmIdI,kpop,213954.0,False,0.553,0.915,10.0,-3.198,0.0,0.228,0.391,0.0,0.472,0.799,165.689,4.0
5MLUv4bFSviEUiEMOqedlQ,kpop,36896.0,False,0.61,0.589,7.0,-10.097,1.0,0.0319,0.472,0.993,0.114,0.503,130.219,4.0
51xCoTR03Eoq9wiAx2eLZU,kpop,44466.0,False,0.769,0.0886,7.0,-21.003,1.0,0.0488,0.986,0.0881,0.07,0.741,108.13,4.0
0AXP0ltP81JqpI5OKXuEsn,kpop,157734.0,False,0.808,0.0343,2.0,-27.209,1.0,0.0593,0.996,0.937,0.0826,0.539,128.015,3.0
58T4yPLn4NjBYXfRxeweyM,kpop,156000.0,True,0.563,0.672,9.0,-7.226,0.0,0.0765,0.359,0.0,0.0972,0.284,99.772,4.0
0Lfo1pSClLyPC2XymqQDHz,kpop,128677.0,True,0.977,0.483,8.0,-9.347,1.0,0.133,0.00576,1.63e-05,0.115,0.644,123.065,4.0
